1708150239.548825 P  %CPU     PID USER      PR  NI    VIRT    RES    SHR S  %MEM     TIME+ COMMAND
1708150431.226199 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   3:12.10 test-cpu-determinism.clogt.exe
1708150432.448892 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:13.32 test-cpu-determinism.clogt.exe
1708150433.687044 4  98.4  102431 root       0 -20    8380   1104   1000 R   0.0   3:14.56 test-cpu-determinism.clogt.exe
1708150434.898337 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:15.77 test-cpu-determinism.clogt.exe
1708150436.153578 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:17.02 test-cpu-determinism.clogt.exe
1708150437.393860 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   3:18.26 test-cpu-determinism.clogt.exe
1708150438.630805 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:19.50 test-cpu-determinism.clogt.exe
1708150439.834865 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   3:20.70 test-cpu-determinism.clogt.exe
1708150441.108931 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:21.97 test-cpu-determinism.clogt.exe
1708150442.330093 4  96.1  102431 root       0 -20    8380   1104   1000 R   0.0   3:23.19 test-cpu-determinism.clogt.exe
1708150443.550430 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:24.41 test-cpu-determinism.clogt.exe
1708150444.768183 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:25.63 test-cpu-determinism.clogt.exe
1708150446.040258 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:26.90 test-cpu-determinism.clogt.exe
1708150447.261040 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:28.13 test-cpu-determinism.clogt.exe
1708150448.515830 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:29.39 test-cpu-determinism.clogt.exe
1708150449.728458 4  96.0  102431 root       0 -20    8380   1104   1000 R   0.0   3:30.60 test-cpu-determinism.clogt.exe
1708150450.957104 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:31.83 test-cpu-determinism.clogt.exe
1708150452.192461 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   3:33.06 test-cpu-determinism.clogt.exe
1708150453.435121 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:34.31 test-cpu-determinism.clogt.exe
1708150453.435210 4   0.8     313 root       0 -20       0      0      0 I   0.0   0:00.63 [kworker/4:1H-kblockd]
1708150454.711873 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:35.58 test-cpu-determinism.clogt.exe
1708150455.934952 4  95.3  102431 root       0 -20    8380   1104   1000 R   0.0   3:36.81 test-cpu-determinism.clogt.exe
1708150457.160776 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:38.03 test-cpu-determinism.clogt.exe
1708150458.367709 4  98.4  102431 root       0 -20    8380   1104   1000 R   0.0   3:39.24 test-cpu-determinism.clogt.exe
1708150459.602407 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:40.48 test-cpu-determinism.clogt.exe
1708150460.808606 4  98.4  102431 root       0 -20    8380   1104   1000 R   0.0   3:41.68 test-cpu-determinism.clogt.exe
1708150462.030531 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:42.90 test-cpu-determinism.clogt.exe
1708150463.235146 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:44.11 test-cpu-determinism.clogt.exe
1708150464.450105 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:45.32 test-cpu-determinism.clogt.exe
1708150465.656003 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:46.53 test-cpu-determinism.clogt.exe
1708150466.879798 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:47.75 test-cpu-determinism.clogt.exe
1708150468.112885 4  98.4  102431 root       0 -20    8380   1104   1000 R   0.0   3:48.98 test-cpu-determinism.clogt.exe
1708150469.344899 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:50.21 test-cpu-determinism.clogt.exe
1708150470.560415 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   3:51.42 test-cpu-determinism.clogt.exe
1708150471.778989 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:52.64 test-cpu-determinism.clogt.exe
1708150472.986566 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:53.85 test-cpu-determinism.clogt.exe
1708150474.243275 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:55.11 test-cpu-determinism.clogt.exe
1708150475.506880 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:56.37 test-cpu-determinism.clogt.exe
1708150476.747888 P  %CPU     PID USER      PR  NI    VIRT    RES    SHR S  %MEM     TIME+ COMMAND
1708150476.748022 4  98.4  102431 root       0 -20    8380   1104   1000 R   0.0   3:57.61 test-cpu-determinism.clogt.exe
1708150477.968022 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   3:58.83 test-cpu-determinism.clogt.exe
