1708140731.711486 P  %CPU     PID USER      PR  NI    VIRT    RES    SHR S  %MEM     TIME+ COMMAND
1708140851.637644 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:00.14 test-cpu-determinism.clogt.exe
1708140852.691278 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   2:01.19 test-cpu-determinism.clogt.exe
1708140853.751062 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:02.25 test-cpu-determinism.clogt.exe
1708140854.807885 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:03.31 test-cpu-determinism.clogt.exe
1708140855.862458 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   2:04.36 test-cpu-determinism.clogt.exe
1708140856.911148 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:05.41 test-cpu-determinism.clogt.exe
1708140857.959090 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:06.46 test-cpu-determinism.clogt.exe
1708140859.006905 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:07.51 test-cpu-determinism.clogt.exe
1708140860.053557 4  99.0   72353 root       0 -20    8380   1124   1020 R   0.0   2:08.55 test-cpu-determinism.clogt.exe
1708140861.107598 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:09.60 test-cpu-determinism.clogt.exe
1708140862.163849 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:10.66 test-cpu-determinism.clogt.exe
1708140863.218400 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:11.72 test-cpu-determinism.clogt.exe
1708140864.272221 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:12.77 test-cpu-determinism.clogt.exe
1708140865.327494 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:13.83 test-cpu-determinism.clogt.exe
1708140866.382503 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:14.89 test-cpu-determinism.clogt.exe
1708140867.437757 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:15.94 test-cpu-determinism.clogt.exe
1708140868.491291 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   2:16.99 test-cpu-determinism.clogt.exe
1708140869.546854 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:18.05 test-cpu-determinism.clogt.exe
1708140870.600714 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   2:19.10 test-cpu-determinism.clogt.exe
1708140871.654696 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:20.15 test-cpu-determinism.clogt.exe
1708140872.708312 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   2:21.20 test-cpu-determinism.clogt.exe
1708140873.761339 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:22.26 test-cpu-determinism.clogt.exe
1708140874.817681 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   2:23.31 test-cpu-determinism.clogt.exe
1708140875.875845 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:24.37 test-cpu-determinism.clogt.exe
1708140876.930593 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:25.43 test-cpu-determinism.clogt.exe
1708140877.987080 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:26.48 test-cpu-determinism.clogt.exe
1708140879.035561 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:27.53 test-cpu-determinism.clogt.exe
1708140880.083595 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:28.58 test-cpu-determinism.clogt.exe
1708140881.139130 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:29.64 test-cpu-determinism.clogt.exe
1708140882.186324 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:30.69 test-cpu-determinism.clogt.exe
1708140883.250498 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:31.75 test-cpu-determinism.clogt.exe
1708140884.309019 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   2:32.81 test-cpu-determinism.clogt.exe
1708140885.359272 P  %CPU     PID USER      PR  NI    VIRT    RES    SHR S  %MEM     TIME+ COMMAND
1708140885.359313 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:33.86 test-cpu-determinism.clogt.exe
1708140886.407311 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:34.91 test-cpu-determinism.clogt.exe
1708140887.455074 4  99.0   72353 root       0 -20    8380   1124   1020 R   0.0   2:35.95 test-cpu-determinism.clogt.exe
1708140888.508462 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:37.01 test-cpu-determinism.clogt.exe
1708140889.571115 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   2:38.07 test-cpu-determinism.clogt.exe
1708140890.618711 4  99.0   72353 root       0 -20    8380   1124   1020 R   0.0   2:39.11 test-cpu-determinism.clogt.exe
1708140891.674320 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:40.17 test-cpu-determinism.clogt.exe
1708140892.725959 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:41.22 test-cpu-determinism.clogt.exe
1708140893.780938 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:42.28 test-cpu-determinism.clogt.exe
1708140894.827821 4  99.0   72353 root       0 -20    8380   1124   1020 R   0.0   2:43.32 test-cpu-determinism.clogt.exe
1708140895.881022 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:44.38 test-cpu-determinism.clogt.exe
1708140896.939835 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:45.43 test-cpu-determinism.clogt.exe
1708140898.003413 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:46.50 test-cpu-determinism.clogt.exe
1708140899.070029 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:47.57 test-cpu-determinism.clogt.exe
1708140900.129215 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   2:48.63 test-cpu-determinism.clogt.exe
1708140901.192709 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:49.69 test-cpu-determinism.clogt.exe
1708140902.254982 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:50.75 test-cpu-determinism.clogt.exe
1708140903.317794 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:51.81 test-cpu-determinism.clogt.exe
1708140904.377866 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   2:52.87 test-cpu-determinism.clogt.exe
1708140905.426949 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:53.93 test-cpu-determinism.clogt.exe
1708140906.485344 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:54.99 test-cpu-determinism.clogt.exe
1708140907.552051 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:56.05 test-cpu-determinism.clogt.exe
1708140908.612411 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   2:57.11 test-cpu-determinism.clogt.exe
1708140909.662636 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:58.16 test-cpu-determinism.clogt.exe
1708140910.714382 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   2:59.21 test-cpu-determinism.clogt.exe
1708140911.761880 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:00.26 test-cpu-determinism.clogt.exe
1708140912.813746 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:01.31 test-cpu-determinism.clogt.exe
1708140913.863892 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:02.36 test-cpu-determinism.clogt.exe
1708140914.922347 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:03.42 test-cpu-determinism.clogt.exe
1708140915.978247 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:04.48 test-cpu-determinism.clogt.exe
1708140917.035162 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   3:05.53 test-cpu-determinism.clogt.exe
1708140918.088105 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:06.58 test-cpu-determinism.clogt.exe
1708140919.155677 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:07.65 test-cpu-determinism.clogt.exe
1708140920.215289 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:08.71 test-cpu-determinism.clogt.exe
1708140921.270771 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:09.77 test-cpu-determinism.clogt.exe
1708140922.324134 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:10.82 test-cpu-determinism.clogt.exe
1708140923.379144 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:11.87 test-cpu-determinism.clogt.exe
1708140924.433082 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:12.93 test-cpu-determinism.clogt.exe
1708140925.488402 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   3:13.98 test-cpu-determinism.clogt.exe
1708140926.549373 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:15.05 test-cpu-determinism.clogt.exe
1708140927.604580 4  98.1   72353 root       0 -20    8380   1124   1020 R   0.0   3:16.09 test-cpu-determinism.clogt.exe
1708140928.658975 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:17.15 test-cpu-determinism.clogt.exe
1708140929.714414 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:18.21 test-cpu-determinism.clogt.exe
1708140930.768182 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   3:19.26 test-cpu-determinism.clogt.exe
1708140931.824977 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:20.32 test-cpu-determinism.clogt.exe
1708140932.877744 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   3:21.37 test-cpu-determinism.clogt.exe
